Date,City,Category,Behaviours,Prison rescue,Begging,Factory visiting,Target,Public/Private,People/Property,People targeted in their homes?,Specific individuals targeted?,Locations,Start point,Latitude,Longitude,Space,Place,Starting Place,Type of space,Industrial,Duration,First day,Time,Working hours (7-7),monthyear,year,month,Weekday,Special date
1845 - June 14,Glasgow,Misc (Anti-police),2-3pm police who are taking a drunk person to prison are attacked by mob of 200-300. Bricks and missiles thrown.,1,0,0,Police,Public,People,No,No,High Street,"High Street, Glasgow, UK",55.8593215,-4.2410231,Street,,Street,Streets and fields,No,Minutes,1845-06-14,2-3pm,Y,1845-06,1845,June,Saturday,No
1845 - August 10,Glasgow,Identity,"Number of Irish had met in a house the previous day and quarrelled. So next day they crossed from Bridgegate to Main Street armed with sticks shouting challenge to the Connaught men. They responded with ""Down with the Monaghan men"" and fight ensued.",0,0,0,Rival Irish groups,Public,People,No,No,Main Street (Gorbals),"Main Street Gorbals, Glasgow, UK",55.851447,-4.253216,Street,,Street,Streets and fields,No,Hours,1845-08-10,7-8pm,N,1845-08,1845,August,Sunday,No
1846 - February 16,Glasgow,Misc (Students),11am crowd of 200 students assembled in College Street armed with sticks and smashed down gate into the alley and some lamps and windows. Police arrived and were also attacked.,0,0,0,"Gates, lamps, windows, police",Public,Both,No,No,College Street,"College Street, Glasgow, UK",55.8595581,-4.2416443,Street,,Street,Streets and fields,No,Minutes,1846-02-16,11:00 am,Y,1846-02,1846,February,Monday,No
1846 - May 24 to 26,Glasgow,"Misc (Soldiers, Anti-police)","50-100 soldiers assembled and looked to provoke fight with police. Continual turmoil with mob of thousands. Throwing stones, breaking windows, extinguishing lamps. Assaulting police. Crowd join in with soldiers. Riots lasting several hours and repeating over several days",0,0,0,Police,Public,Both,No,No,"Glasgow Green, Hutcheson Bridge, Saltmarket, Jail Square, Adelphi Theatre","Glasgow Green, Glasgow, UK",55.8487031,-4.2350712,Street,,Street,Streets and fields,No,Days,1846-05-24,Evening (6-9pm),Y,1846-05,1846,May,Sunday,No
1846 - June 2,Glasgow,Misc,Wedding attacked with brickbats and stones. 30 public lamps demolished many neighbouring houses' windows smashed. Disturbance continued for 2 or 3 hours. Police attacked. 8pm,0,0,0,"Wedding building, police, windows and lamps",Public,Both,No,No,Garscube Road,"Garscube Road, Glasgow, UK",55.8752332,-4.2631227,Wedding venue,,Wedding venue,"Places of leisure (pubs, theatres, football grounds etc)",No,Hours,1846-06-02,Evening (8pm),N,1846-06,1846,June,Tuesday,No
1846 - August 30,Glasgow,Misc (Anti-police),"Disturbance on road, police moved in and were taking away the prisoners when there was an attempt to rescue them. Police seriously hurt and uniform torn to shreds. Mob of several thousand persons",1,0,0,Police,Public,People,No,No,Gorbals (Commercial Road),"Commercial Road Gorbals, Glasgow, UK",55.849699,-4.2453214,Street,,Street,Streets and fields,No,Hours,1846-08-30,Afternoon (4-5pm),Y,1846-08,1846,August,Sunday,No
1847 - July 30,Glasgow,Political,Large mob disatisfied with result of the election. Threatened some of the shopkeepers who had voted for the victorious candidate. Refused to clear off when police arrived. Throwing stones etc. Attacked police,0,0,0,"Police, rival voters",Public,People,No,Shopkeepers who supported other political party,Gorbals (Main Street),"Main Street Gorbals, Glasgow, UK",55.851447,-4.253216,Shop,,Shop,Shop,No,Hours,1847-07-30,Evening (6-7pm),Y,1847-07,1847,July,Friday,Election
1848 - March 6 & 7,Glasgow,Economic/Political,"Unemployed meeting on Glasgow green, escalating tension over several days, Chartist speeches. Went to collect soup from City Hall, demanded something more substantial. Pulling up railings on Monteith Road. Crowd splits and starts looting, attacking shops, lamps, windows and police. Looting provision shops, gunsmiths, watchmakers and goldsmiths. Cries of ""Vive la Revolution' 'Sing the Marseillais' and references to France. On second day attempt to raid gasworks (direct copy of France) and to turn out factory (repelled by workers). Prisoner rescue, stoning police/soldiers",1,0,1,Shops of all descriptions. Gas lamps. Police and soldiers,Public,Both,No,No,"City Hall, Glasgow Green, Monteith Road, Gallowgate, Trongate, Buchanan Street, Royal Exchange Square, Brunswich Street, Jamaica Street, CLyde Place, Gorbals Main Street, Adelphi Street, Carlton, Bridgeton.","City Hall, Glasgow, UK",55.8587387,-4.2441029,Meeting,City Hall,Meeting,Meeting Hall,No,Days,1848-03-06,Afternoon (2-3pm),Y,1848-03,1848,March,Monday,No
1848 - June 3 & 4,Glasgow,Misc (Soldiers),Irish soldiers rioting and fighting police. Originated in police squabble with fishwife. Rabble joined in on side of soldiers. Several thousand.,0,0,0,"Police
",Public,People,No,No,"Saltmarket, Trongate.","Saltmarket, Glasgow, UK",55.8551873,-4.2459845,Street,,Street,Streets and fields,No,Days,1848-06-03,Night (7pm),N,1848-06,1848,June,Saturday,No
1849 - September 24,Glasgow,Misc,"11am respectable persons coming from soiree of St Andrew's Parish School were attacked by blackguards and thieves from Saltmarket street. Fight between two or three women of the town, crowd surround them so as to make road impassable. Police intervene and arrest them, are then attacked themselves",0,0,0,"Police, respectable persons",Public,People,No,No,Saltmarket,"Saltmarket, Glasgow, UK",55.8551873,-4.2459845,Street,,Street,Streets and fields,No,Minutes,1849-09-24,Morning 11am,Y,1849-09,1849,September,Monday,No
1849 - November 18,Glasgow,Misc (Anti-police),"Two fellows fighting on Garscube Road. Police arrest one of them and rabble disperse. Then when police were on their way to station with prisoner they were attacked by about a score of low fellows on Maitland Lane who knocked down police, rescued prisoner",1,0,0,Police,Public,People,No,No,"Cowcaddens Street, Maitland Lane","Cowcaddens Street, Glasgow, UK",55.8667632,-4.2543094,Street,,Street,Streets and fields,No,Hours,1849-11-18,Afternoon,Y,1849-11,1849,November,Sunday,No
1850 - April 2,Glasgow,Misc (Anti-police),"Men arrested for fighting, attempted rescue with fists and stones. Several people came out to help the police and effort made to remove the individuals but crowd followed pelting them with plantpots and stones",1,0,0,Police,Public,People,No,No,Goosedubs & Old Wynd. Bridgegate,"Goosedubs Bridgegate, Glasgow, UK",55.855119,-4.249484,Street,,Street,Streets and fields,No,Hours,1850-04-02,??,,1850-04,1850,April,Tuesday,No
1853 - July 18,Glasgow,Misc (Anti-police),"Someone gets in fight with the police. They arrest him. Attempted rescue. Pots, pans, kettles all thrown down at police",1,0,0,Police,Public,People,No,No,King Street,"King Street, Glasgow, UK",55.8559818,-4.2467992,Street,,Street,Streets and fields,No,Minutes,1853-07-18,Afternoon,Y,1853-07,1853,July,Monday,No
1855 - July 6,Glasgow,Misc (Anti-police),Mob of Irish attacking police officers. One of them arrested in another fight on September 2nd again in Springburn,0,0,0,Police,Public,People,No,No,Springburn,"Springburn, Glasgow, UK",55.887201,-4.230802,Street,,Street,Streets and fields,No,Hours?,1855-07-06,Night,N,1855-07,1855,July,Friday,No
1856 - March 3,Glasgow,Misc (Soldiers),Two or three constables taking a drunk prostitute to the police office when some of her intimiates among the militia turned out from the barracks to rescue her (30 or 40 men came out of the barracks). Blows belts and batons as they fought the police. 8-9pm,1,0,0,Police,Public,People,No,No,Gallowgate,"Gallowgate, Glasgow, UK",55.855687,-4.232771,Street,,Street,Streets and fields,No,Hours,1856-03-03,8-9pm,N,1856-03,1856,March,Monday,No
1857 - May 11,Glasgow,Misc,Disturbance at closing of Garden Fete on Monday. Bunch of men broke over the palling and jostled the guests. Respectable men and women pelted with stones as they left the site,0,0,0,Respectable persons,Public,People,No,No,"Gallowgate
(Botanic Gardens)","Botanic Gardens Gallowgate, Glasgow, UK",55.8512451,-4.2373054,Fete,Botanic Gardens,Fete,"Places of leisure (pubs, theatres, football grounds etc)",No,Hours,1857-05-11,Night,N,1857-05,1857,May,Monday,No
1860 - June 2,Glasgow,Misc (Anti-police),"Drunk and disorderly. ASsault passersby and police (while they were escorting a prisoner).
",1,0,0,"Police and locals
",Public,People,No,No,Barrack Street,"Barrack Street, Glasgow, UK",55.8573905,-4.2324107,Street,,Street,Streets and fields,No,Hours,1860-06-02,Early Sunday morning,Y,1860-06,1860,June,Saturday,No
1860 - June 8,Glasgow,Misc (Soldiers),Also had separate incident where artillery men tried to enter house on Trongate and ended up fighting the police (midnight Friday 8th June),0,0,0,"Police and locals
",Both,People,No,No,Trongate,"Trongate, Glasgow, UK",55.8571602,-4.2466771,House,,House,Home,No,Hours,1860-06-08,midnight on Friday night,N,1860-06,1860,June,Friday,No
1861 - March 4,Glasgow,Political,"Police Commissioners Election. After result declared crowd (who were non electors) started shouting hooting and yelling. Police Office's and Commissioners' Chambers had windows smashed. Any commissioner who ventured outside was assailed. By 10pm started attacking the doors and shutters with sticks. Commissioners tried to make a dash for it but were attacked. 10.30pm band started palying and chants of ""To Moore's!"" (Moore being the person who had just won the election). Attacked Bailie's house and his bakers shop. Lamps smashed.  Threw bread cart into the river. House of More, of the superintedent of police and others attacked. By 12.30am crowd had exhausted itself. Police did nothing.",0,0,0,Particular individuals. Bakers shop. Lamps,Both,Both,Yes,"Election commissioners, Bailieâ€™s house, police superintendent, house of sinning election candidate",Johnstone Parrish,"Johnstone Parrish, Glasgow, UK",55.8341622,-4.5146297,Meeting,,Meeting,Meeting Hall,No,Hours,1861-03-04,8pm till night,N,1861-03,1861,March,Monday,No
1862 - June 9,Glasgow,Misc (Reformatory/Prison),"12pm watchman went upstairs after hearing noise in the dorms. Boys had armed themselves with towel rails. He locked them in. They broke into store room, demolished window and tried to climb out that way. govenor brandished rifle which stopped them trying to climb out but they broke every window they could find.",0,0,0,"Windows, furniture",Public,Both,No,No,Duke Street Reformatory,"Duke Street Reformatory, Glasgow, UK",55.858663,-4.226285,Reformatory,Duke Street Reformatory,Reformatory,Reformatory,No,Hours,1862-06-09,12:00 pm,Y,1862-06,1862,June,Monday,No
1864 - August 1,Glasgow,Misc (Anti-police),"Man arrested about 7pm. Crowd grew and grew and followed the police escorting the prisoner. At Lyon street prisoner gives some kind of signal and there is mass attack on the officers.Stones, pieces of brick and other missiles thrown at officers. Pub windows and other houses smashed.",1,0,0,"Police, windows",Public,Both,No,No,"Cowcaddens (Lyon Street, Garscube Road)","Garscube Road Cowcaddens, Glasgow, UK",55.86806,-4.25992,Street,,Street,Streets and fields,No,Hours,1864-08-01,7:00 pm,N,1864-08,1864,August,Monday,No
1868 - September,Glasgow,Economic,Rioting by striking miners in Govan (no details - attacks on strikebreakers by sounds of it).,0,0,0,Strikebreakers?,Public,People,No,No,Govan,??,NA,NA,NA,,NA,NA,Yes,??,NA,??,,1868-09,1868,September,NA,No
1868 - October/November,Glasgow,Political,Election expenses incurred for damages done by Whig's rioting,0,0,0,Rival election mobs,Public,People,No,No,??,??,NA,NA,NA,,NA,NA,No,Election cycle,NA,??,,1868-10,1868,October,NA,No
1869 - August 7 & 8,Glasgow,Identity,Catholics thought their chapel was going to be attacked by Orange and refused to disperse when polie asked them to. 150-200 people. Armed with palling stobs and other weapons. Marching and singing in the streets,0,0,0,Catholics vs Orange,Public,People,No,No,"Rutherglen: Main Street, Mill Street, Greenhill Road","Main Street Rutherglen, Glasgow, UK",55.8282361,-4.2067853,Street,,Street,Streets and fields,No,Hours,1869-08-07,Night (to 3am),N,1869-08,1869,August,Saturday,No
1870 - October 2,Glasgow,Misc (Anti-police),Crowd of 100 attempting to rescue prisoner. fighting police,1,0,0,Police,Public,People,No,No,??,NA,NA,NA,Street,,Street,Streets and fields,No,Hour,1870-10-02,4:00 pm,Y,1870-10,1870,October,Sunday,No
1870 - November 6,Glasgow,Misc (Anti-police),"Man had been arrested for desertion, people in the neighbourhood thought that someone in the house had given information to the police. Mob 500-1000 people, throwing stones and brickbats. Police arrived, they were also attacked.",0,0,0,House of particular person (informer). Police,Private,Both,Yes,Informer,Cowcaddens,"Cowcaddens, Glasgow, UK",55.8661538,-4.2508041,House,,House,Home,No,Hours,1870-11-06,Morning (forenoon),Y,1870-11,1870,November,Sunday,No
1874 - July 11 & 12,Glasgow,Identity,Band of Orange marching along Garscube Road on saturday (11th) were attacked as returned home from march. Knives used. Attacked police. Windows smashed,0,0,0,Orange Lodges. Police,Public,Both,No,No,Garscube Raod then Portland Buildings (Govan),"Garscube Road, Glasgow, UK",55.8752332,-4.2631227,Street (procession),,Street (procession),Streets and fields,No,Hours (two days - seem like separate events),1874-07-11,Evening returning from march,N,1874-07,1874,July,Saturday,12th July
1875 - August 7 & 8,Glasgow,Identity,"Great Hamilton Street rioting after the march ahd finished. Tram drivers refused to stop their cars for procession so cars were attacjed. Police intervened and were then assaulted themselves. Another fight between clericals and home rulers at Glasgow Cross.
Partick: Processionist hit a bystand, and got hit back, ends in fight. Lots of small fights breaking out until midnight. Sticks and all weapons used freely. Started again in the morning, band of 2-300 Irish marched over bridge from Glasgow to seek revenge. Police drove them back across. Mob armed with sticks and stones. Stones thrown out of house windows down at the crowds.",0,0,0,Catholic marchers.,Public,Both,No,No,"Partick Cross. And Glasgow Cross, Great Hamilton Street.","Partick Cross, Glasgow, UK",55.870557,-4.299834,Street (procession),,Street (procession),Streets and fields,No,Days,1875-08-07,Afternoon (5pm) and into evening,Y,1875-08,1875,August,Saturday,???
1875 - September 11,Glasgow,Misc (Anti-police),Police arrest someone for being drunk and disorderly. Police then attacked by crowd throwing stones etc. Arrestee fought back with stick,1,0,0,Police,Public,People,No,No,Garscube Road,"Garscube Road, Glasgow, UK",55.8752332,-4.2631227,Street,,Street,Streets and fields,No,Minutes,1875-09-11,??,,1875-09,1875,September,Saturday,No
1877 - March 9,Glasgow,Misc (Students),"300 marched to Sauchiehall Street, singing and shouting. As got to Charing Cross started smashing windows, sign boards, lamps etc. 'special vengeance being dealt upon the boards bearing the announcement of a ""House to Let"" or such like information'. Similar attacks along Renfield Street and surrounding. Police interfere and arrest two people leading to a regular melÃ©e in which constables roughly handled. Citizens aided police. Students followed them to the POlice Officer in Cowcaddens but eventually dispersed. ",1,0,0,"Sings, windows, lamps. Police
",Public,Both,No,No,"Charing Cross, Renfield Street","Charing Cross, Glasgow, UK",55.8646352,-4.2698131,Street,,Street,Streets and fields,No,Hour,1877-03-09,Night,N,1877-03,1877,March,Friday,No
